Id,ParentId,CBS,UdM,Cantidad,Descripción,Precio unitario,BoQ Line Type
0,,CBS,,0,BOREAL II ET 1 - PPTO CONSTRUCIÓN,0,Root
1,0,1463,,0,PRELIMINARES,0,Level 1
2,1,X-00-00-00-0000-000,,0,X-GASTOS GENERALES Y PRELIMINARES,0,Level 2
3,2,X-10-00-00-0000-000,,0,COSTOS INDIRECTOS DE OBRA,0,Level 3
4,3,X-10-35-00-0000-000,,0,CONSTRUCCIONES TEMPORALES - PRELIMINARES,0,Level 4
5,4,X-10-35-10-0000-000,,0,PRELIMINARES,0,Level 5
6,5,X-10-35-10-0150-001,,0,PROVISIONAL DE ENERGÍA,0,Level 6
7,6,Z410300-0076,GLB,200,Sub. Provisional de energia interna,420200,Position
8,5,X-10-35-10-0150-002,,0,PROVISIONAL DE ACUEDUCTO,0,Level 6
9,8,Z410300-0075,GLB,1,Sub. Intalacion provisional acueducto,31515000,Position
10,5,X-10-35-10-0153-001,,0,CAMPAMENTO DE OBRA,0,Level 6
11,10,Z410300-0010,M2,250,Sub. Campamento,420200,Position
12,5,X-10-35-10-0153-002,,0,CIMENTACION TORRE GRUA,0,Level 6
13,12,Z410113-0004,UN,2.1,Montaje De Torre Grua,21000000,Position
14,5,X-10-35-10-0155-004,,0,CARRETEABLES Y MANTENIMIENTO ACCESOS PROVISIONALES,0,Level 6
15,14,Z410300-0012,M2,9439.16,Sub. Carreteable Acceso,36767.5,Position
16,5,X-10-35-10-0156-003,,0,CERRAMIENTO INSTITUCIONAL,0,Level 6
17,16,Z412400-0134,ML,388,Sub. Cerramiento Provisional en Lamina Tipo Institucional,231750,Position
18,5,X-10-35-10-0174-003,,0,RECUPERACION ZONA DE CESION,0,Level 6
19,18,Z410300-0042,M2,1,Sub. Recuperacion Zona De Cesion,52525000,Position
20,5,X-10-35-10-0194-001,,0,DESMONTE DE PROVISIONALES,0,Level 6
21,20,Z417600-0010,GLB,1,Sub. Desmonte Instalaciones Electricas Provisionales,31515000,Position
22,5,X-10-35-10-0241-001,,0,DEMOLICIÓN CASAS EXISTENTES,0,Level 6
23,22,Z410321-0008,GLB,1,Sub. Demoliciones Varias,800000000,Position
24,5,X-10-35-10-0241-003,,0,DEMOLICION DE MUROS,0,Level 6
25,24,Z410321-0006,ML,27.87,Sub. Demolicion Muro Existente,379589.77,Position
26,5,X-10-35-10-1014-007,,0,VALLAS Y SEÑALIZACION DE OBRA,0,Level 6
27,26,Z410611-0249,GLB,1,Vallas Y Señales (Seguridad),7574105,Position
28,3,X-10-45-00-0000-000,,0,"CONTROL DE CALIDAD, INSPECCIONES Y PRUEBAS",0,Level 4
29,28,X-10-45-10-0000-000,,0,"CONTROL DE CALIDAD, INSPECCIONES Y PRUEBAS",0,Level 5
30,29,X-10-45-10-0171-003,,0,COMISIÓN DE TOPOGRAFÍA Y ASENTAMIENTOS,0,Level 6
31,30,Z410611-0017,MES,1,Sub. Comision De Topografia,7622000,Position
32,0,1945,,0,UNIDADES DE VIVIENDA,0,Level 1
33,32,A-00-00-00-0000-000,,0,A-SUBESTRUCTURA - CIMENTACION,0,Level 2
34,33,A-10-00-00-0000-000,,0,CIMENTACION,0,Level 3
35,34,A-10-20-00-0000-000,,0,CIMENTACIONES ESPECIALES,0,Level 4
36,35,A-10-20-15-0000-000,,0,PILOTES PERFORADOS - PREEXCAVADOS,0,Level 5
37,36,A-10-20-15-3163-005,,0,PILOTE TIPO KELLY 80 CM,0,Level 6
38,37,P131511-0084,M3,6933.2,Concreto 3500 Psi Tremie Grava Fina,441351.0917,Position
39,37,P133121-0001,KG,222173.57,Acero De Refuerzo A-37,5011.090106,Position
40,37,P133121-0037,KG,6665.21,Alambre No 18,5317.807779,Position
41,37,S017300-0230,KG,222173.57,M.O. Manejo De Acero De Refuerzo Pilotaje,427.900009,Position
42,37,S017300-0494,UN,225,M.O. prehuecos pilotes D=80 cm,91129.97813,Position
43,37,Z410131-0013,VJ,111.37,Transporte De Equipos,683265.2713,Position
44,37,Z413100-0009,M3,113.1,Sub. Descabece De Pilotes,276494.1946,Position
45,37,Z413100-0054,ML,13072.5,Sub. Pilotaje Kelly D=0.80 M.,135643.0006,Position
46,33,A-40-00-00-0000-000,,0,PLACAS DE CONTRA PISO,0,Level 3
